date,Axis Bluechip,ICICI Bluechip,Kotak Bluechip,Nippon Large Cap,SBI Bluechip
2013-07-04,25.0619,15.0843,31.7005,13.3744,103.265
2013-07-05,25.0681,15.1472,31.7308,13.4009,103.2854
2013-07-07,25.0783,,,,
2013-07-08,25.0838,15.0639,31.6958,13.2314,103.3431
2013-07-09,25.0893,15.2741,31.7138,13.3168,103.368
2013-07-10,25.0948,15.273,31.7128,13.259,103.3886
2013-07-11,25.1004,15.4709,31.757,13.4425,103.4083
2013-07-12,25.1064,15.6022,31.8051,13.6028,103.4314
2013-07-14,25.117,,,,
2013-07-15,25.1225,15.661,31.8193,13.6813,103.4995
2013-07-16,25.0654,15.4107,31.5549,13.4826,102.6046
2013-07-17,25.0747,15.3551,31.5346,13.4057,102.7023
2013-07-18,25.0859,15.4558,31.6192,13.5266,102.8496
2013-07-19,25.0951,15.3425,31.6159,13.491,102.8672
2013-07-21,25.1088,,,,
2013-07-22,25.1157,15.3172,31.5924,13.4323,102.9274
2013-07-23,25.12,15.3502,31.5579,13.5137,102.8344
2013-07-24,25.0935,15.1837,31.3712,13.2616,102.6244
2013-07-25,25.1012,15.0259,31.5939,13.1914,102.6991
2013-07-26,25.109,15.025,31.591,13.0735,102.7573
2013-07-28,25.1236,,,,
2013-07-29,25.131,14.9306,31.5584,13.0033,102.8554
2013-07-30,25.1385,14.806,31.5287,12.7471,102.8875
2013-07-31,25.146,14.7567,31.463,12.9014,102.9055
2013-08-01,25.1536,14.7515,31.5515,12.766,102.9596
2013-08-02,25.1607,14.6639,31.5368,12.6617,103.0101
2013-08-04,25.1748,,,,
2013-08-05,25.1832,14.6753,31.5483,12.7128,103.1389
2013-08-06,25.1904,14.3633,31.5344,12.3588,103.1471
2013-08-07,25.1974,14.2345,31.5634,12.4816,103.1785
2013-08-08,25.2051,14.3894,31.6269,12.7214,103.2116
2013-08-11,25.2278,,,,
2013-08-12,25.2342,14.5806,31.6104,12.8515,103.2958
2013-08-13,25.2414,14.7677,31.6179,13.0239,103.3152
2013-08-14,25.2486,14.803,31.5721,13.0848,103.364
2013-08-15,25.2559,,,,
2013-08-16,25.263,14.3818,31.4561,12.6349,103.1558
2013-08-18,25.2777,,,,
2013-08-19,25.2847,14.102,31.2745,12.4366,103.207
2013-08-20,25.2918,13.9956,31.2916,12.4137,103.2086
2013-08-21,25.2993,13.8249,31.4778,12.2191,103.3135
2013-08-22,25.3066,13.8944,31.477,12.424,103.3345
2013-08-23,25.3141,14.066,31.5853,12.5759,103.3768
2013-08-25,25.3289,,,,
2013-08-26,25.3361,14.1695,31.5711,12.6806,103.4776
2013-08-27,25.3433,13.7614,31.403,12.2979,103.4881
2013-08-28,25.3507,13.6318,31.3056,12.2443,103.4713
2013-08-29,25.3581,13.8991,31.3412,12.4848,103.1588
2013-08-30,25.3659,14.1497,31.4007,12.6214,103.214
2013-09-01,25.3804,,,,
2013-09-02,25.3877,14.2365,31.5122,12.794,103.3253
2013-09-03,25.3949,13.9014,31.4503,12.3669,103.3815
2013-09-04,25.403,14.0106,31.5182,12.564,103.4408
2013-09-05,25.4121,14.3129,31.6593,12.8133,103.5445
2013-09-06,25.4198,14.4284,31.6505,12.9802,103.5778
2013-09-09,25.4408,,,,
2013-09-10,25.4483,14.8613,31.733,13.3471,103.7133
2013-09-11,25.4558,14.9458,31.7662,13.4542,103.7462
2013-09-12,25.4632,14.8835,31.7783,13.3458,103.7831
2013-09-13,25.4707,14.8914,31.8004,13.3653,103.8036
2013-09-15,25.4852,,,,
2013-09-16,25.4927,14.8783,31.8692,13.2876,103.8949
2013-09-17,25.5003,14.9042,31.8351,13.3498,103.2261
2013-09-18,25.5079,14.9935,31.8899,13.4428,103.3108
2013-09-19,25.5168,15.3962,32.0075,13.819,103.4545
2013-09-20,25.5251,15.2064,31.934,13.6366,103.5346
2013-09-22,25.5398,,,,
2013-09-23,25.5472,14.9949,31.8585,13.408,103.594
2013-09-24,25.5544,15.0645,31.8426,13.3638,103.6
2013-09-25,25.5616,14.9967,31.8851,13.355,103.6534
2013-09-26,25.5691,14.9804,31.916,13.3434,103.6866
2013-09-27,25.5767,14.9389,31.9532,13.2945,103.724
